epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3083,0.96641,2.34806,1.28537,0.58285,0.85,0.87795,0.63384,1.64575,1.0287,1.37377,0,0,0
2,12.6359,1.25009,3.2679,1.64608,0.5892,0.85,0.84888,0.63049,1.67011,1.02304,1.38699,1.1311e-06,1.1311e-06,1.1311e-06
3,12.9706,1.35147,3.64012,1.61309,0.59036,0.85,0.8539,0.61727,1.68737,1.01506,1.39176,2.14438e-06,2.14438e-06,2.14438e-06
4,13.4646,1.02595,2.75445,1.27543,0.57798,0.85,0.85442,0.63457,1.68326,1.01204,1.38103,3.03986e-06,3.03986e-06,3.03986e-06
5,13.9019,1.33425,2.97752,1.62359,0.62183,0.92608,0.90685,0.64046,1.69348,1.01702,1.38017,3.81752e-06,3.81752e-06,3.81752e-06
6,14.2962,0.94707,2.27028,1.21775,0.56174,0.85,0.85671,0.62775,1.67974,1.01778,1.37161,4.47737e-06,4.47737e-06,4.47737e-06
7,14.7117,1.41732,3.87912,1.76082,0.55543,0.85254,0.85966,0.62916,1.68102,1.02218,1.36823,5.01942e-06,5.01942e-06,5.01942e-06
8,15.0973,1.4388,4.00367,1.80761,0.56646,0.85546,0.86088,0.62931,1.70156,1.03713,1.38045,5.44365e-06,5.44365e-06,5.44365e-06
9,15.5012,1.36806,2.87862,1.47859,0.55097,0.86454,0.86013,0.62916,1.70024,1.04955,1.37531,5.75008e-06,5.75008e-06,5.75008e-06
10,16.0444,1.3107,2.53392,1.63565,0.55502,0.86654,0.81757,0.61197,1.70192,1.04359,1.37357,5.9387e-06,5.9387e-06,5.9387e-06
11,16.937,1.03596,2.48366,1.37306,0.56477,0.86613,0.85421,0.63174,1.71066,1.0588,1.37911,6.0095e-06,6.0095e-06,6.0095e-06
12,17.3465,0.95087,2.00874,1.3985,0.56735,0.86375,0.8543,0.63179,1.71792,1.07882,1.38331,5.9625e-06,5.9625e-06,5.9625e-06
13,17.7245,0.93163,1.5125,1.22123,0.55987,0.8586,0.85453,0.63411,1.70437,1.07343,1.38076,5.79768e-06,5.79768e-06,5.79768e-06
14,18.1076,0.99458,2.11425,1.39541,0.58805,0.85,0.85378,0.63402,1.69254,1.07351,1.3779,5.51505e-06,5.51505e-06,5.51505e-06
15,18.5632,0.90878,1.33321,1.20044,0.61566,0.85,0.85433,0.63436,1.68338,1.0616,1.36853,5.11462e-06,5.11462e-06,5.11462e-06
16,19.11,0.79512,1.40897,1.12917,0.61403,0.85,0.85369,0.63435,1.66315,1.07991,1.36008,4.59638e-06,4.59638e-06,4.59638e-06
17,19.4943,0.77813,1.53276,1.16219,0.60164,0.85,0.85414,0.63584,1.64912,1.07637,1.3508,3.96032e-06,3.96032e-06,3.96032e-06
18,19.9103,0.87787,1.31106,1.2629,0.60164,0.85,0.85414,0.63584,1.64912,1.07637,1.3508,3.20646e-06,3.20646e-06,3.20646e-06
19,20.3278,1.15854,2.02554,1.63538,0.6052,0.85,0.87063,0.6392,1.62824,1.09982,1.34358,2.33478e-06,2.33478e-06,2.33478e-06
20,20.7064,0.72221,1.18225,1.06112,0.6052,0.85,0.87063,0.6392,1.62824,1.09982,1.34358,1.3453e-06,1.3453e-06,1.3453e-06
